"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3687",545333,"Bauer, Trevor","3687","100.0","0.230","0.199","0.290","0.429","0.316","0.311","0.224","184","800","88.4","16.4","2456","87.1","86.69","489","1669","2018","-0.4","6.00","111","153","115","148","291","311","289"
"3553",458681,"Lynn, Lance","3553","100.0","0.243","0.146","0.322","0.390","0.294","0.278","0.218","195","801","87.7","13.8","2436","91.9","88.89","497","1742","1811","-3.0","6.23","110","154","114","149","293","322","300"
"3495",593958,"Rodriguez, Eduardo","3495","100.0","0.253","0.138","0.318","0.391","0.307","0.282","0.212","195","770","86.1","8.9","2161","90.4","89.98","444","1623","1872","-0.4","5.92","107","150","115","149","288","322","288"
"3448",434378,"Verlander, Justin","3448","100.0","0.172","0.188","0.219","0.361","0.243","0.241","0.180","137","796","87.3","18.4","2599","89.6","85.88","602","1790","1658","-3.7","5.83","113","157","117","152","290","316","297"
"3384",544931,"Strasburg, Stephen","3384","100.0","0.210","0.139","0.276","0.349","0.265","0.266","0.210","161","768","87.8","7.7","2245","88.7","89.43","492","1613","1771","0.7","6.71","114","151","112","149","303","316","296"
"3362",543037,"Cole, Gerrit","3362","100.0","0.186","0.156","0.276","0.343","0.246","0.237","0.180","142","762","87.6","14.0","2559","92.4","91.94","624","1679","1683","-0.5","6.11","112","155","119","151","289","316","297"
"3358",501985,"Minor, Mike","3358","100.0","0.244","0.151","0.288","0.395","0.301","0.297","0.228","190","779","86.6","16.6","2563","88.4","87.44","421","1605","1753","-1.0","5.61","106","152","111","147","293","322","298"
"3332",605400,"Nola, Aaron","3332","100.0","0.233","0.160","0.297","0.393","0.304","0.310","0.235","176","755","88.9","9.0","2198","86.7","86.91","393","1485","1847","0.2","6.43","111","151","117","150","299","323","294"
"3332",669456,"Bieber, Shane","3332","100.0","0.230","0.163","0.298","0.393","0.280","0.290","0.231","186","810","90.6","12.5","2256","88.4","85.70","487","1592","1740","-2.7","6.27","111","152","115","150","290","312","290"
"3299",571578,"Corbin, Patrick","3299","100.0","0.227","0.149","0.295","0.375","0.285","0.303","0.227","169","746","89.8","8.4","2245","86.7","86.58","492","1563","1736","-0.1","6.20","109","150","113","147","304","316","295"
